,Content,Location,Username,Retweet-Count,Favorites,Created at
23,"Join the discussion 🎉 with @MSFTEngageEdu 

All are welcome 🌎 

Ask questions ❓,  say hi 📣, share adventures💭 and learn new ways to impact instruction for all using Microsoft tools.  
💙💜❤️

https://t.co/eXKS1EmHu5

#DistanceLearning #edchat #MicrosoftEDU #MIEExpert https://t.co/BLPR1NNqLg","Meridian, ID",GeriGillespy,0,2,2020-08-02 02:25:32
24,"Words of wisdom by one of the most successful people this world has seen, Steve Jobs. Keep the motivation coming around and make your dreams come true 🇨🇦✔️
.
.
.
#studyincanada #canada #studyonline #onlineclasses #distancelearning #gautamservices #wordsofwisdom #thoughtoftheday https://t.co/fOgzVsip6Q",,GautamServices,0,1,2020-08-02 02:22:38
25,"#discover #explore #enjoy #enjoylearning #distancelearning @elevatevent 
Starting Aug 13 https://t.co/LNw0xmphfL","Austin, TX",elevatevent,0,1,2020-08-02 02:21:11
26,Distance learning in the fall needs to prioritize connection and relationships with the student and teacher. This needs to happen on a predictable and ongoing basis. #teachertwitter #SEL #DistanceLearning #k12 #PublicSchools #edchat #education #edutwitter,Oregon,SRazz1,2,3,2020-08-02 02:19:10
27,"I am excited to be part of the Flipgrid community, on a mission to empower every voice! Want to see and hear from all your learners? Check out @Flipgrid, it’s free! #distancelearning #backtoschool https://t.co/frVJK3pUDP",Somewhere Over the Rainbow,MsSolVsq,0,0,2020-08-02 02:07:48
28,"@mezzopwr 1st grade teacher in #LosAngeles #CA. 

We are #DistanceLearning, so these SHEET PROTECTORS are my most needed item. 

We’ll use them to store our letter cards, which we’ll use to make words, focusing  on spelling patterns each week. 
🍎🥰❤️
https://t.co/X6WtarbneH https://t.co/6hbtmVCpbZ","Los Angeles, CA",103_4Ever,0,0,2020-08-02 02:05:48
29,Zoomed with my students today and got some feedback from them on what they wanted to know more about to be better prepared for school starting in a few weeks. #TeamBCSD #Spartans #Sierra #SierraStrong #SpartanStrong #TeamSierra #distancelearning #teacher #iteachtoo @Sierra_BCSD https://t.co/8AR1GU41Bh,"Bakersfield, CA",mugglesinmiddle,1,6,2020-08-02 02:01:14
30,Guess who is has been appointed to the @NevadaReady's Top Digital Education Experts as a Digital Engineer?!? THIS GIRL! #edtech #distancelearning I am looking forward to helping educators become more comfortable with the #distancelearning aspect of blended and online teaching!,"36.0800,-115.1522",hawaiianbrat96,0,22,2020-08-02 01:56:54
31,"If you are feeling generous you can donate to my @DonorsChoose grant and help me make some #distancelearning #schoolsupplies bags @blacklistclear1 https://t.co/eh7Yw0Hggq

#houstonteachers #houston #houstontexas #iteach #whatsyoursuperpower #learn #teach  #teachersrock  #thanks",,heaven_teacher,0,0,2020-08-02 01:56:21
32,I'm 1st/2nd grade combo teacher in Alaska trying to get my students the supplies they need to make their school year successful. I'm a Title 1 school and 95% below poverty. #title1 #student #Teaching #distancelearning  https://t.co/ZZBO6RMRXK,,RectorBelinda,0,0,2020-08-02 01:55:33
33,To Do: create a fun virtual meet the teacher activity. This is something to think about as students may be able to still opt out of in person learning! Be prepared instead of playing catch up! #teacher #edtech #SpecialEducation #education #distancelearning #hybridlearning https://t.co/snzL9M5OXa,,RampUpEdu,2,0,2020-08-02 01:44:00
34,Please make a #PSA @tomhanks our #teachers need you to do this. #COVID19 #distancelearning #WearAMask https://t.co/6GLF6okgYl,"Beaverton, OR",mehreen_krueger,1,0,2020-08-02 01:38:12
35,"Looking for a way to engage your students for #DistanceLearning and #BackToSchool? Check out our #MinecraftEdu #Esports content. Download the full Educator Framework and 7 x Make &amp; Model worlds FREE here:
https://t.co/HWPjOg7gUk

https://t.co/C1RFDBR8b8

#MSFTEngageEdu #MIEExpert https://t.co/fkpd0ALjUT",,MSFTEngageEdu,2,5,2020-08-02 01:32:24
36,"Inspired by @Erintegration to create a ST digital sticker book. #TWTCON2020 ♥️ Thanks for the adorable stickers @candytechideas, and for the beautiful template @SlidesManiaSM! 

This can be great motivation during #DistanceLearning 🎉 https://t.co/bGL5GKXmhn","Bakersfield, CA",MissCaseyBriggs,1,3,2020-08-02 01:24:44
37,Our district is learning to have Nearpod work hard for us and our students. I wanted to be better prepared to support PD and just got this in the mail. You can get this badge and more at @nearpod  #DistanceLearning #Impactocps @CDLocps https://t.co/Y9nvZKgw7B,"Orlando, FL",BiddingerFL,1,5,2020-08-02 01:20:37
38,"I totally get how important school is but I love my kids too much to send them back. I've decided that #DistanceLearning is safest option. T-minus 2 weeks until we find out if I'm up to the task. Learn more about our journey:

#COVID19 #ICYMI #NotMyKid 

https://t.co/XQaHfZ0KfK https://t.co/ArBYz6TKlR",Northeast Ohio,theautismdad,1,15,2020-08-02 01:15:01
39,I’m thinking of showing this #YouCantStopUs ad by Nike at the end of each class in the first day of school.... https://t.co/HMk73I5PmG #SEL #BetterTogether #distancelearning,Ventura/LA Counties,Hell2Teach,0,11,2020-08-02 01:14:49
40,Science Fair Resource room completed with hyperlinks (it even links to the Palm Beach Regional Science &amp; Engineering Fair site page). Trying to keep topics in Google Classroom as clean as possible! @palmspringsms @PBCSDScience #DistanceLearning https://t.co/hkQtWLyKQL,,STEMagillPSMS,0,4,2020-08-02 01:13:42
41,Dang! Thank you @MarilynEDU for helping us build our classroom community during #distancelearning! Big “Tub of Love” fan. ❤️ Who doesn’t love surprise mail?? 💌 Thinking about the @Target dollar section. #relationshipsmatter https://t.co/vVF3loJZXo,"Hagerstown, MD",Mrs_Chlebowski,0,1,2020-08-02 01:09:38
42,"Let's re-think the education model #DistanceLearning #LAUSD #BackToSchool2020
https://t.co/lCmnNElSDu",,Justoffthe101,0,0,2020-08-02 01:07:17
43,SHINE volunteers getting learning materials ready for students so they have at home during online learning🥰.  #aps  #shine  #DistanceLearning  #backtoschool  #BackToSchool2020 https://t.co/0plLTCVkNl,,missiontbirds,0,0,2020-08-02 01:04:34
44,"With the new integration of SMART Learning Suite Online with @MicrosoftTeams @MicrosoftEDU , for delivering #distancelearning learning lessons, I’m trying to learn more about this tool.  Thanks, @alicekeeler for your take on channels! https://t.co/8KhTvDejci","Florida, USA",TeachSmartGuru,1,1,2020-08-02 01:01:44
45,"Behind the scenes of today’s sponsored storytime via @zoom_us brought to you by @MultCoLib 
Join @NikkiBrownClown next Sat., August 8th @ 10am pst 
#storytime #readingcommunity #VirtualPhotography #storytimethread #Childrensbook #TeacherLife #BeTheChange #DistanceLearning #pdx https://t.co/M9c2dhQ6Yy","Portland, OR",NikkiBrownClown,0,0,2020-08-02 01:00:44
46,"9 Ways Online Teaching Should be Different from Face-to-Face. - #6 Content needs to be simplified and slowed down https://t.co/vjEoJemyxJ

#teachchat #teacherchat #distancelearning","Oakland, CA",PeerTutoring,0,0,2020-08-02 01:00:00
47,"What are your plans for your children as we get closer to the new school year?⁣

#backtoschool #backtoschoolshopping #firstdayofschool #teacherlife #school #distancelearning #teachers… https://t.co/lGutNHcNVK","Las Vegas, NV",MelaninBlvd,1,0,2020-08-02 00:49:01
48,"Have you entered the Make Math Moments From A Distance Giveaway yet? If you want to maximize your effectiveness during remote learning, dive in now! #remotelearning #distancelearning #MMMGiveaway #edchat @MakeMathMoments https://t.co/xeM7IYwYLQ","Ontario, Canada",MsRWatson,1,1,2020-08-02 00:48:45
