,Content,Location,Username,Retweet-Count,Favorites,Created at
28,Hey friends:) We are having some tech difficulties but trying our best to get online. Thank you for your patience! #education #tostpauls #adultliteracy https://t.co/Z1Bvyoe4Zt,"Toronto, Ontario",JILLSLASTWORD,0,5,2020-08-13 23:07:29
29,"@AmitAgarwal Kind of resources Amazon have.. They should invest in

*online education platform*.. 

Education sector is going to change after covid-19...amazon technology can make real difference for poor students from different parts of India... education app integrated with prime video????",Hell,Govind_rai_,0,0,2020-08-13 23:05:19
30,"Assalamualaikum wbt.
Dear all Koedians🤗

We, Bachelor of Education Students' Association (BEDSA) would like to conduct a survey to identify any issues regarding online learning during the Emergency Remote Teaching and Learning (ERTL) period. https://t.co/xtHEzEDD82","IIUM,Gombak",twt_bedsa,0,1,2020-08-13 23:04:51
31,"Teachers Want to Improve Online Learning Skills, but Training Uneven 

READ MORE: https://t.co/PWnyD5NIXw

#ContinuingEducation #DigitalLearning #Education #EduTech #HigherEducation #Learning #LifelongLearning #Media #OnlineLearning #School~",Worldwide,IAM__Network,0,0,2020-08-13 23:02:24
32,A-level students in Wales marked down four grades by examiners - the full stats - Wales Online https://t.co/Z9XErabDzH,Cymru🏴󠁧󠁢󠁷󠁬󠁳󠁿/EU/World,Williamjones00,0,0,2020-08-13 23:02:17
33,"Alhamdulillah, it is now almost a year since I began teaching online for the Islamic Online University, and its been three years since I began studying through it. So I thought I https://t.co/7l0PGSAF8Y #muslimmatters",United States,MuslimMatters,0,4,2020-08-13 23:01:29
34,"Do you have big plans to use English in your life, but want to improve your abilities? We are enrolling now for a new 12-week online course designed for specifically for high school students. Share, inquire, and enroll today
Enroll for Aug 17th or Aug 31st
https://t.co/Yssrn38jGV https://t.co/s9agvasmVv","Manhattan, KS",CIMAKSTATE,0,1,2020-08-13 23:00:26
35,"TAKE YOU EXAM AT HOME -  Fontana, CA ServSafe® Manager Exam with Online Proctoring Bundle https://t.co/Tr7t8sjEVP https://t.co/mM5qAk1AXd",SE USA,HRBUniversal,0,0,2020-08-13 23:00:16
36,"Online learning is now at the center of the world's education system. betterU is working to make sure quality, scope and affordability can support the needs of the many.  https://t.co/N3bRZNAYNO #skills https://t.co/Pr1r3TvZI3",Ottawa ON,Brad_betterU,0,0,2020-08-13 23:00:11
37,Introduction to Bioinformatics: just one of our many FREE online courses available to NHS staff and students. https://t.co/aRNlwrX2Xe #genomics #bioinformatics #bigdata #genetics https://t.co/4If6ENaHy1,"Birmingham, UK",genomicsedu,3,6,2020-08-13 23:00:06
38,@ShaylaABC30 @ABC30 Interesting to see this happening in my little town I grew up. Not sure why since the local public HS and the local community college in town are all doing Distance Education 100% online.,"Fresno, CA",001Canales,0,0,2020-08-13 22:59:53
39,"Online Education provide Quality, Equality, Availability, Accountability and Transparency.
#onlinelearning #OnlineClasses #onlineeducation  #eCollege",,EkMauka,0,0,2020-08-13 22:56:24
40,"@kingsleymalo Most teachers don't know the first thing about online learning and students who choose/need to stay home are not going to get a quality education, especially with synchronous learning. As it stands, this plan seems to fail poor and disabled students.","Sudbury, Ontario",ItsAstridEh,0,1,2020-08-13 22:56:22
41,"video || tips for your online school experience: campus, social life, extracurriculars &amp; education | Queen’s University https://t.co/4l6ybqqZTB",,mistralspirit,0,0,2020-08-13 22:53:51
42,Wouldn't have anything to do with having all their classes online? https://t.co/3zHVb438fj,Kansas City (MO or KS)? Yes!,LEDGirlKC,0,1,2020-08-13 22:52:53
43,There are many benefits to doing education online... though I think this applies more to college students than K-12. https://t.co/Aocolk5Hdn,"Three Hills, AB",DrSteveIbbotson,0,0,2020-08-13 22:52:46
