,Content,Location,Username,Retweet-Count,Favorites,Created at
24,Lovely hipster tache! Order your mask now! #coronavirus #coronausa #covid_19 #londonlockdown #lockdown2020 #distancelearning #keepthedistance #stayhome #staysafe #CoronaIsNotAJoke #ukcoronavirus #CoronavirusUsa #coronavirusuk #uscoronavirus #LockdownEnd https://t.co/2AxflbS4Wf,"London, England",scandalo_alsole,0,0,2020-08-13 17:35:43
25,"@d_cdh952 Okay, so this morning I moved all of the laundry baskets &amp; stuff off my treadmill, and I made sure my wireless head phones work with my computer &amp; laptop. 

Goal: I want to see if I can teach some of my #DistanceLearning classes, while walking! https://t.co/l7BEdgEjn3","San Francisco, CA",elena_SF_CA,0,0,2020-08-13 17:35:32
26,"☕️ Coffee with the Principal, Friday- August 14th at 9am!

☕️ Cafecito con la directora 14 de agosto a las 11am! #collegebeginsatHazeltine #distancelearning #ThisIsUs https://t.co/cXbeYc4tw0",Hazeltine Avenue Elementary,AvenueHazeltine,0,0,2020-08-13 17:35:19
27,"An important message for parents to pay attention to as we head back to #distancelearning The 4th bullet point is perhaps the most important.  Remember, parents are beneficent dictators who can liberally apply the protections of the 4th amendment Children can build and earn trust https://t.co/LBNTrCzZFi","Miami, Florida",DavidSWeinstein,0,1,2020-08-13 17:34:13
28,"#DistanceLearning for my high schoolers started this am and it is working ok.  Only a few lags/session kicks. 

Both said their #Teacher
are very engaging and really leaning into the challenge of video. 

Most kids texting on the side, which will make tests near impossible.","California, USA",seybold,0,0,2020-08-13 17:31:46
29,https://t.co/vHi3rcbiEL These are the few items not on the supply list for my students. Please consider helping us out.  #clearthelist #distancelearning @GivingClassroom @Edelman11 @BlueGiving @WeAreTeachers,,mrstdwy8,1,0,2020-08-13 17:30:38
30,"👩‍💻Learn about the Tech Basics for distance learning -- from Google Classroom, Seesaw and ParentVue. 🖥️Sessions in English and Spanish are today and Chinese tomorrow. Sign up now: https://t.co/12Isxh0UKl #distancelearning #ppssf https://t.co/3xx5bm1N6U",3543 18th Street,ppssf,0,0,2020-08-13 17:30:36
31,"Jody Miller, Head of Esther B. Clark Schools at CHC, is featured in  @mercnews, discussing the school year ahead. Read what she has to say here!  #DistanceLearning #Education #CaliforniaEducation
https://t.co/w6KMItpMjN https://t.co/vBhclkHxb5","Palo Alto, CA",CHC_paloalto,0,0,2020-08-13 17:30:14
32,"Session 3 of the Distance Learning Summit, ""Making Learning Active and Engaging, Whether Face-To-Face or Remote ... or Somewhere in Between"", is in one hour! Don't forget to register. #THEJournal #THEJournalSummit #DistanceLearning https://t.co/eBJFMw1KjF https://t.co/SF39gglBdF",,THE_Journal,0,1,2020-08-13 17:30:00
33,"Two periods done, three to go ✅💻 #DistanceLearning #HarderThanItLooks","California, USA",gamezd5,0,3,2020-08-13 17:29:02
34,Can anyone please confirm the legality of this? #covid19 #BackToSchool #Legislation #Government #Rights #distancelearning https://t.co/tWulTC6uJR,,GueRa_Sol_tera,0,0,2020-08-13 17:26:22
35,"Praying for Students, Teachers and Parents as this unusual 20-21 school year begins. 🙏🏼
#BackToSchool #DistanceLearning https://t.co/tNsnZhlGH2","Danville, California",rhccdanville,0,1,2020-08-13 17:25:15
36,Where the cool kids sit at lunch! #distancelearning #yum https://t.co/MtljpDEokL,"Pflugerville, TX",wendelvball,0,0,2020-08-13 17:24:35
37,"Anyone use ""Mi Vida Loca"" from @BBC in their #spanish classes?  Looking into it as a #distancelearning resource for our courses #langchat #COVID19BC",Minnesota,MeganBudke,0,0,2020-08-13 17:23:57
38,"So I am really loving the audio response feature within interactive @nearpod lessons. This will be great for kids who are not strong writers just yet, but have TONS of ideas to share✨#nearpod #distancelearning",,tech_ventures,0,0,2020-08-13 17:22:53
